Course Catalogue Number,Department Name,Course Name,Course Description,Graduate/Undergraduate,Format,Lab,Academic Catalogue Year,Food Systems,Food Justice/Equity,Critical Pedagogy,key
ARMY 3323,Army ROTC (ARMY), Leadership Skills and Small Unit Tactics,"
Studies leadership techniques and tactical operations at the small-unit level. In-depth analysis of team/squad tactical procedures and techniques. Instruction covers the principals of offensive and defensive combat operations, patrolling, the decision-making process, troop leading procedures, land navigation, and operation orders. Numerous student oral presentations and practical exercises.Prerequisites: ARMY 3313.
",,,,2019-2020,,,,['land']
ARMY 3993,Army ROTC (ARMY), Independent Study,"
Studies leadership techniques and tactical operations at the small-unit level. An induction to the basic team/squad tactical employment. Instruction covers operation orders, troop leading procedures, and squad movement techniques. Individual skills in map reading, land navigation, basic rifle marksmanship and physical fitness are emphasized. Or it will be an in-depth analysis of team/squad tactical procedures and techniques. Instruction covers the principals of offensive and defensive combat operations, patrolling, the decision-making process, troop leading procedures, land navigation, and operation orders.Prerequisites: ARMY 2212 and ARMY 2222.
",,,,2019-2020,,,,['land']
ARMY 4411,Army ROTC (ARMY), Professional Reading for Army Leaders,"
This course is a study and contemplation of essential componenets for the individual professional development of every Army Leader.  In addition to training as Soldiers and physical fitness conditioning, the mind must improve through reading and critical thinking.  The Army operates in a complex strategic environment demanding the improvement of knowledge for not only military affairs; but, economics, politics, and international affairs.  This course will teach Cadets how to train for new types of missions, how to deploy forces rapidly to distant regions around the world, and how to pursue innovation and change while preserving the Army's core capabilities in an era of fiscal constraint.   Additionally, this course will sharpen the understanding of strategic land power, the indispensable role of ethical leadership, and extraordinary demands of land combat.  A challenging course set up to discuss debate, and think critically about ideas through reading.Prerequisites: ARMY 4413 and ARMY 4423.
",,,,2019-2020,,,,['land']
ARTS 3513,Art (ARTS), Crafts Design,"
The study of several crafts including clay, fibers, paper, textiles and plaster.
",,,,2019-2020,,,,[' fiber']
BIOL 1034,Biology (BIOL), Botany,"
Morphology and physiology of flowering plants. Structure, method of reproduction, and biotic relationships of type representatives of lower plants.
",,,,2019-2020,,,,['botany']
BIOL 1054,Biology (BIOL), Anatomy and Physiology I,"
An introductory course examining the organization of a human body and the mechanisms for maintaining homeostasis.  Topics include chemistry of life, cell and tissue structure, metabolism, skeleton, muscular, nervous, endocrine, and integumentary system.  Designed for students who will pursue a career in nursing.
",,,,2019-2020,,,,[' metaboli']
BIOL 1064,Biology (BIOL), Anatomy and Physiology II,"
An introductory course examining the organization of a human body and the mechanisms for maintaining homeostasis.  Topics include metabolism, the cardiovascular, lymphatic, respiratory, digestive, urinary, and reproductive systems.  Designed for students who will pursue a career in nursing.
",,,,2019-2020,,,,[' metaboli']
BIOL 1123,Biology (BIOL), College Biology II,"
A reflection of the interdependence of plants on animals and how man's existence is depending on successful interactions between plants and animals.
",,,,2019-2020,,,,[' animal']
BIOL 3034,Biology (BIOL), General Microbiology,"
Morphology, physiology, classification, and cultivation of the microorganism relevant to agriculture, pre-medicine, and industry.Prerequisites: CHEM 1033 and BIOL 1015.
",,,,2019-2020,,,,"['agri', ' cultivation ']"
BIOL 3064,Biology (BIOL), Animal Histology,"
Microscopic study of tissues and organs of vertebrates. Relation of structure to function.Prerequisites: BIOL 1015 and BIOL 1025.
",,,,2019-2020,,,,[' animal']
BIOL 3073,Biology (BIOL), Molecular Biology I,"
The dynamics of carbohydrate, fat, protein and nucleic acid metabolism; recombinant DNA evolution, gene structure and function in specialized eukaryotic systems.Prerequisites: BIOL 1025 and CHEM 2043.
",,,,2019-2020,,,,"[' carbohydrate', ' metaboli', ' protein']"
BIOL 4014,Biology (BIOL), Vertebrate Embryology,"
Structure, principles, and progress in vertebrate development. Chickens and pigs as principle laboratory materials.Prerequisites: BIOL 1015 and BIOL 1025.
",,,,2019-2020,,,,"[' chicken', ' pig']"
BIOL 5053,Biology (BIOL), Air Pollutants,"
Introduction of essentials of the toxicology of major air contaminants, the factors governing air quality criteria and standards, and alternatives for air pollution abatement.
",,,,2019-2020,,,,[' contaminant']
BIOL 5063,Biology (BIOL), Micro Activ Toxico,"
Survey of microbial actions in the field of environmental toxicology. Toxigenic microorganisms, major microbial toxins and use of microbial systems in toxicological studies. Microbial alterations of environmental contaminants.
",,,,2019-2020,,,,[' contaminant']
BIOL 5073,Biology (BIOL), Selected Topics in Environmental Toxicology,"
In-depth treatments of several important areas in the field of environmental toxicology, including studies of microbiology of toxic substances, toxic substances in food, poisonous plants and venomous animals, occupational health and safety and chemical ecology.
",,,,2019-2020,,,,"[' animal', 'food', ' poison']"
BIOL 5074,Biology (BIOL), Genetics,"
Laws and principles governing heredity in plants and animals; plant and animal improvement through eugenics.
",,,,2019-2020,,,,[' animal']
BIOL 5143,Biology (BIOL), Field and Animal Ecology,"
Composition, dynamics and distribution of biotic communities in various sections of the southwest. Outdoor camping and cooking.
",,,,2019-2020,,,,[' animal']
BIOL 5204,Biology (BIOL), Biology for Teachers,"
Training course for prospective teachers of zoology and botany. Lectures or conferences, field and laboratory work.
",,,,2019-2020,,,,['botany']
CHEG 2152,Chemical Engineering (CHEG), Biochemical Engineering Fundamentals Lab,"
This course consists of biochemical engineering laboratory experiments, with emphasis on biochemical reactors, mass transfer in bioreactors, microbial transformations and enzyme catalyzed reactions and their control. Measurement of maximum specific growth rate, saturation constants of substrates, kinetic constants of enzymes and characterization of immobilized enzymes will be carried out. Analysis oxygen absorption rates in shake-flasks in the study of control of respiration and fermentation in baker's yeast, kinetics of yeast growth, kinetics of free and immobilized enzyme reactions and operational decay constant and half-life of immobilized enzymes.Prerequisites: CHEG 2315.
",,,,2019-2020,,,,"[' ferment', ' yeast']"
CHEG 3043,Chemical Engineering (CHEG), Equilibrium Stage Separation Processes,"
Applications of heat and mass balances and phase equilibria to the design of staged separation processes. Use of graphical methods such as McCabe Thiele and Ponchon Savarit for the treatment of binary systems. Application to distillation, absorption, stripping, and extraction.Prerequisites: CHEG 2053 and CHEG 3053.
",,,,2019-2020,,,,[' distill']
CHEG 3113,Chemical Engineering (CHEG), Introduction to Energy Systems,"
This course introduces fundamental physical and engineering principles associated with various energy systems. Basic energy concepts will be introduced describing the magnitudes and patterns of human energy needs. Historical evolution and present status of the conventional fossil and nuclear-fuelled energy will be investigated along with others such as hydropower, biofuels, and the developing renewable energy systems.Prerequisites: MATH 2024 and PHYS 2523 and (CHEM 1034 or CHEM 1043).
",,,,2019-2020,,,,['biofuel']
CHEG 4011,Chemical Engineering (CHEG), Chemical Engineering Laboratory II,"
Chemical engineering laboratory directed to separation processes such as gas absorption, fractional distillation, extraction, and drying. Study of reaction rates and equilibria in simple chemical systems. Emphasis is placed upon experimental data required for the scale-up to commercial scale equipment.Prerequisites: CHEG 3023 (may be taken concurrently) and CHEG 3043 (may be taken concurrently) and (SPCH 1003 (may be taken concurrently) or COMM 1003 (may be taken concurrently)) and (ENGL 1133 (may be taken concurrently) or ENGL 1143 (may be taken concurrently)) and PHYS 2511 (may be taken concurrently) and PHYS 2521 (may be taken concurrently) and CHEM 1021 (may be taken concurrently).
",,,,2019-2020,,,,[' distill']
CHEG 4033,Chemical Engineering (CHEG), Process Dynamics and Control,"
Dynamic response and control of chemical process equipment such as reactors, heat exchangers, distillation columns. Use is made of fundamental techniques of servomechanism theory such as block diagrams, transfer functions, and frequency response; stability analysis and control loop design. Unsteady state modeling and computer simulation of simple control systems.Prerequisites: CHEG 3063 (may be taken concurrently) and (MATH 4173 (may be taken concurrently) or MATH 3685 (may be taken concurrently)).
",,,,2019-2020,,,,[' distill']
CHEG 4153,Chemical Engineering (CHEG), Bioengineering,"
Design and analysis of biochemical systems with applications in biomedical engineering and metabolic processes, enzyme catalyzed reactions and product separation, biomass production, and wastewater treatment. Emphasis is placed upon the application of biochemical systems structure, reaction kinetics, transport processes, and control in the design and use of biochemical reactors and separation units.
",,,,2019-2020,,,,[' metaboli']
CHEG 5033,Chemical Engineering (CHEG), Environmental Processes,"
Fundamentals of environmental engineering, chemistry, physical-chemistry and transport properties. Energy and mass balances. Reactions and reactors. Biological processes. Bioremediation.
",,,,2019-2020,,,,['bioremed']
CHEG 5043,Chemical Engineering (CHEG), Remediation Technologies,"
Fundamentals of environmental remediation. Physical-chemical processes. Bioremediation. Stabilization and solidification. Thermal methods. Site characterization. Risk assessment. Containment. Remedial Alternatives Applications to real contaminated sites.
",,,,2019-2020,,,,['bioremed']
CHEM 4033,Chemistry (CHEM), Biochemistry,"
A study of the chemistry of biological molecules: proteins, lipids, carbohydrates and nucleic acids. Enzyme catalysis, Bioenergetics, Metabolism of carbohydrates, fats and proteins. Interrelationship of the metabolic pathways.Prerequisites: CHEM 2033 and CHEM 2043.
",,,,2019-2020,,,,"['bioenergetic', ' carbohydrate', ' lipid', ' metaboli', ' protein']"
CHEM 4042,Chemistry (CHEM), Biochemistry Laboratory,"
Experiments in basic methodology for the isolation, purification and characterization of carbohydrates, lipids, proteins, nucleic acids and enzymes from natural products.Prerequisites: CHEM 4033 (may be taken concurrently).Co-requisite: CHEM 4033.
",,,,2019-2020,,,,"[' carbohydrate', ' lipid', ' protein']"
CVEG 2073,Civil Engineering (CVEG), Global Development Issues,"
An overview of global development issues and their importance.  Global and regional developing goals, history, implementation and impact.  Global and local dimensions o development, and the concept of sustainability.  Ethical dimensions of development , management concepts for projects and related issues.  Global issues related to energy, the environment , and the food-energy-water (FEW) nexus.  Audience-appropriate visualization and documentation.
",,,,2019-2020,,,,['food']
CVEG 2081,Civil Engineering (CVEG), Surveying and Geospatial Concepts,"
Introduction to plane surveying: leveling, horizontal distance and measurements, vertical and horizontal angles, azimuths and bearings, traverse calculations, earthwork and volume computations, stadia, topographical surveys, construction boundaries, coordinate systems; trigonometry applications in civil engineering and pertinent computer software.  The Global Positioning System (GPS) and Geographic Information Systems (GIS) are introduced.Prerequisites: MATH 1124 and CVEG 2073.
",,,,2019-2020,,,,['geospatial']
CVEG 3023,Civil Engineering (CVEG), Geotechnical Engineering,"
Physical and mechanical properties of soil; moisture and its movement in soil; moisture density relationships; soil classification; settlement; consolidation; permeability; testing of soil physical and mechanical properties; and laboratory sessions.Prerequisites: CVEG 2061 and CVEG 2063.
",,,,2019-2020,,,,[' soil']
CVEG 4021,Civil Engineering (CVEG), Geotechnical Engineering Design Laboratory,"
Site investigation methods and the development of soil exploration reports, design of retaining structures, slope stability; design of shallow and deep foundations.Prerequisites: CVEG 3023.
",,,,2019-2020,,,,[' soil']
CVEG 4123,Civil Engineering (CVEG), Hydrology,"
Hydrologic cycle; precipitation; runoff; infiltration; hydrological analysis; unit hydrograph; statistical methods; surface and groundwater; flood forecasting; flood routing; flood control; and computer applications.Prerequisites: CVEG 3063.
",,,,2019-2020,,,,['hydrologic cycle']
CVEG 4233,Civil Engineering (CVEG), Water Quality Modeling,"
Water quality overview; movement of contaminants in the environment; contaminant interactions with soil, air, and water; and mathematical models to describe the movement of contaminants in various bodies of water including rivers, lakes, oceans and groundwater.Prerequisites: CVEG 3043.
",,,,2019-2020,,,,"[' contaminant', ' soil']"
CVEG 5143,Civil Engineering (CVEG), Hazardous Waste Management,"
Environmental legislation, regulations concerning the identification, storage, transport, and disposal of hazardous wastes. Treatment processes; control mechanisms; landfill technology and disposal practices.
",,,,2019-2020,,,,['land']
CVEG 5753,Civil Engineering (CVEG), Geospatial Information Management,"
Introduction and use of geospatial information systems in engineering management. Geographic Information Systems, use of databases, geocoding, geospatial analysis in the context of a project.
",,,,2019-2020,,,,['geospatial']
CPSY 7773,Clinical Psychology (CPSY), Learning Theory & Clinical App,"
The study of theoretical and procedural issues in basic learning mechanisms, in animals and humans, including classical and instrumental conditioning and social cognitive frameworks. Concept applications to relevant biological mechanisms and clinical interventions (e.g., behavior modification, systematic desensitization) are emphasized with particular attention to procedures implemented with children and adolescents. Coverage of parental and school consultation techniques is provided regarding behavior modification of children and adolescents. A review of research regarding applications of current theoretical models is presented.
",,,,2019-2020,,,,[' animal']
COMM 3513,Communications (COMM), Communication Law & Ethics,"
Examines the idea of free speech as it has developed in the United States with attention to mass media law, including topics such as liberal, invasion of privacy and obscenity. In addition to studying media law, students will examine and discuss ethical issues that involve the media. The objective is to develop  an understanding of the First Amendment and the role it plays in American society.Prerequisites: COMM 1713.
",,,,2019-2020,,,,[' amendment']
COMM 3713,Communications (COMM), Communication Technology,"
A study of electronic process and applications in media. Emphasis on current and emerging technologies in telecommunications, radio, TV, satellite, fiber optics, and computer-mediated communication.Prerequisites: COMM 1713 COMM 2513 or COMM 2523 or COMM 2533 or COMM 2543.
",,,,2019-2020,,,,[' fiber']
CODE 5603,Community Development (CODE), Land Development and Planning in Declining Communities,"
This course will explore techniques used to identify and acquire vacant or unmanaged properties in depressed neighborhoods.  The course examines challenges, social and other influences and changes throughout the world, with a special emphasis upon less industralized area.
",,,,2019-2020,,,,['land']
CODE 5613,Community Development (CODE), Land Development and Use Control Strategies,"
This course will introduce students to the basic principles of land and real estate development.  The course will provide an overview of the development process, the land development team, site analysis reading development drawings and environmental issues.
",,,,2019-2020,,,,['land']
CODE 5743,Community Development (CODE), Global Community Development in the United States,"
This course will explore the role of immigrants, non-U.S. citizens, and foreign investors in developing rural and urban America.  The course will examine the role of immigration on shaping the social and economic form of American cities and suburbs, and the role of histroric preservations in economic development.
",,,,2019-2020,,,,[' rural ']
CPET 3231,Computer Engineering Tech (CPET), Microprocessor Assembly Language Laboratory,"
Exploring the Intel processor registers, their functionalities and responsibilities in computations, tracing individual instruction executions in debug mode, dedicated memory segments and address spaces in real and protected modes, microprocessor programming in solving engineering technology problems and program analysis at microprocessor level.Prerequisites: CPET 2111 and CPET 2113 and CPET 3233 (may be taken concurrently).
",,,,2019-2020,,,,['crop']
CPET 3233,Computer Engineering Tech (CPET), Microprocessor Assembly Language,"
Microprocessor level data represented in binary and hexadecimal formats, Intel 32-bit architecture, real and protected mode address spaces, processor-memory working relationship, Intel programming mnemonics, program design and microprocessor level programming for solving engineering technology applications.Prerequisites: CPET 2111 and CPET 2113 and CPET 3231 (may be taken concurrently).
",,,,2019-2020,,,,['crop']
CPET 3251,Computer Engineering Tech (CPET), Digital Hardware Design Laboratory,"
Laboratory experiments in design of digital computers and computer controlled devices. The internal operation of a microprocessor and computer. Registers and timing control, programmable gate arrays, array processors as computer models.Prerequisites: CPET 2111 and CPET 2113 and CPET 3253 (may be taken concurrently).
",,,,2019-2020,,,,['crop']
CPET 3253,Computer Engineering Tech (CPET), Digital Hardware Design,"
Basic concepts used on the design of digital computers and computer-controlled devices. The internal operation of a microprocessor and computer. Registers and timing control, programmable gate arrays, array processors as computer models. Students will use individual board computers for doing simulation.Prerequisites: CPET 2111 and CPET 2113 and CPET 3251 (may be taken concurrently).
",,,,2019-2020,,,,['crop']
CPET 4051,Computer Engineering Tech (CPET), Computer Systems Design Laboratory,"
Experiments involving interface logic and programmable I/O devices for microprocessor base systems. The course will introduce- based systems. Introduce system design CAD tools, simulation, verification and synthesis.Prerequisites: CPET 3161 and CPET 3163 and CPET 4053 (may be taken concurrently).
",,,,2019-2020,,,,['crop']
CPET 4053,Computer Engineering Tech (CPET), Computer Systems Design,"
Study of modern digital design methodologies, operation, arithmetic operations, and the study of advanced analysis on microprocessor software engineering systems.Prerequisites: CPET 3161 and CPET 3163 and CPET 4051 (may be taken concurrently).
",,,,2019-2020,,,,['crop']
CPET 4111,Computer Engineering Tech (CPET), Applications of Microprocessor Software Laboratory,"
Exercises in industrial applications programs. Use of micro assemblers to write floating point mathematical routines, special purposes languages. Engineering Technology applications are stressed.Prerequisites: CPET 3231 and CPET 3233 and CPET 4113 (may be taken concurrently).
",,,,2019-2020,,,,['crop']
CPET 4113,Computer Engineering Tech (CPET), Software Applications of Microprocessors,"
Assembler-level programming of microprocessors and microcomputers with emphasis on writing industrial application programs. Use of micro assemblers to write floating point mathematical routines, special purpose languages, simulate other microprocessor instructions sets, generate re-locatable code, and linking leaders. Applications for Engineering Technology are stressed.Prerequisites: CPET 3231 and CPET 3233 and CPET 4111 (may be taken concurrently).
",,,,2019-2020,,,,['crop']
CPET 4153,Computer Engineering Tech (CPET), Micro Computer Peripheral Hardware,"
The elements of microprocessor peripheral hardware and its interfacing. Students will configure and construct microprocessor systems. Topics include series and parallel I/O devices, DMA and interrupt control devices, bus arbitration, and memory management units.Prerequisites: CPET 3161 and CPET 3163 and CPET 4151 (may be taken concurrently).
",,,,2019-2020,,,,['crop']
CINS 5203,Computer Information Systems (CINS), Web Application Dev I,"
Course focuses on the design and development of ""client-side"" web applications. Topics include Web 2.0. web application development methods, client-side scripting, session management, Ajax-enabled Rich Internet Applications, and reusable web application components. Technologies such as JavaScript, applets, Dreamweaver, Flash, XML, XHTML and Cascading Style Sheets are explored. The course includes an emphasis on the principles of good software engineering.Prerequisites: COMP 1224.
",,,,2019-2020,,,,[' apple']
COMP 2033,Computer Science (COMP), Assembly Language,"
Study of the logical design and internal operation of digital computers and programming using a macro assembly language. Using several practical exercises to illustrate machine structures and programming techniques for a typical microprocessor environment, such as the Intel processor/IBM PC architecture.Prerequisites: COMP 1224.
",,,,2019-2020,,,,['crop']
COMP 2143,Computer Science (COMP), Introduction to Java,"
An introduction to the Java Programming language. Includes coverage of Java Development Kit (JKD), applications, creating applets for enhancing web pages, and an introduction to the object model, and object oriented programming. Prerequisites: Proficiency in at least one programming language. Can be used as a computer science lower level elective.
",,,,2019-2020,,,,[' apple']
COMP 3043,Computer Science (COMP), Computer Organization,"
The study of a computer as a series of levels, each one built on its predecessor. Digital logic level, the microprogramming level, the conventional machine level, the operating systems level, and the assembly language level.Prerequisites: COMP 2043.
",,,,2019-2020,,,,['crop']
COMP 3333,Computer Science (COMP), Smart Device App Development,"
Introduction to app development for smart devices, specifically for Apple iOS or Google Android devices.  Differences between smart devices and traditional desk top computer systems will be examined.  Various app development environments will be covered, including Xcodc and programming language Objective-C for iOS, and Eclipse for Android.Prerequisites: COMP 2013.
",,,,2019-2020,,,,[' apple']
COMP 5193,Computer Science (COMP), Mobile Device App Design and Development,"
Introduction to app development for mobile devices, specifically for Apple iOS or Google Android devices.  Various app development environments will be covered, including Xcode and programming language Objective-C for iOS, or Eclipse for Android.  App design strategy will be discussed.Prerequisites: COMP 2013.
",,,,2019-2020,,,,[' apple']
CONS 3363,Construction Science (CONS), Surveying and Soils,"
Principles of surveying; use of surveying instruments, topographical surveys and traverses; field practice and computations. Basic considerations of site management and soils considerations for construction projects.Prerequisites: MATH 2318.
",,,,2019-2020,,,,[' soil']
CONS 3633,Construction Science (CONS), Surveying and Soils,"
Principles of surveying; use of surveying instruments, topographical surveys and traverses; field practice and computations. Basic considerations of site management and soils considerations for construction projects.Prerequisites: MATH 2183.
",,,,2019-2020,,,,[' soil']
CRJS 2443,Criminal Justice (CRJS), Introduction to Homeland Security,"
The course will introduce students to the history of the Department of Homeland Security as a federal entity and homeland security as an area of study in the United States. It will include major research and theoretical perspectives that have resulted in significant initiatives to keep persons in the United States safe from various threats.
",,,,2019-2020,,,,['land']
CRJS 2643,Criminal Justice (CRJS), Criminal Procedure,"
An examination of the Fourth, Fifth and Sixth Amendments regarding search and seizure, warrant requirements, the right to counsel, confessions, and the admissibility of evidence.
",,,,2019-2020,,,,[' amendment']
CRJS 3653,Criminal Justice (CRJS)," Drugs, Crime and Society","
This course will examine the relationship between drugs, alcohol, crime and human
behavior. It will include an examination of the social construction of drug issues, the war on drugs, drug control policy, and the function of drugs in popular cultural mediums. The course will also examine topics that include asset forfeiture, the confidential informant role in drug enforcement, drug ethnography, the leading theories of drug use and abuse, community and corrections-based substance abuse treatment, and drug enforcement strategies.
",,,,2019-2020,,,,['alcohol']
ELEG 3071,Electrical Engineering (ELEG), Microprocessor Systems Design Laboratory,"
Software and hardware experiments with a microprocessor system. Assembly language and C programming, simple input/output interfacing, and interrupt processing in microcomputer systems.Prerequisites: ELEG 3063 and ELEG 1043 or COMP 1213 and ELEG 3073 (may be taken concurrently).
",,,,2019-2020,,,,['crop']
ELEG 3073,Electrical Engineering (ELEG), Microprocessor System Design,"
Introduction to architecture, operation, and application of microprocessors; microprocessor programming; address decoding; system timing; parallel, serial, and analog 110; interrupts and direct memory access; interfacing to static and dynamic RAM; microcontrollers. Introduction to Microcomputers.Prerequisites: ELEG 3063 and ELEG 1043 or COMP 1213.Co-requisite: ELEG 3071.
",,,,2019-2020,,,,['crop']
ELEG 4013,Electrical Engineering (ELEG), Electromechanical Energy Conversion,"
Electric and magnetic devices, force and torque measurements, iron core transformers, single phase and poly-phase power circuit analysis. Introduction to per unit system.Prerequisites: ELEG 3013 and MATH 4173.
",,,,2019-2020,,,,[' iron ']
ELEG 6113,Electrical Engineering (ELEG), Computer Architecture & Advanced Logic Design,"
Overview of switching theory, logic design, combinatorial and sequential circuits, and FSMs. Computer architecture: organization and design with CPU, Memory, cache, VO, OS, DMA, MMU, operations of interrupt and. DMA, and performance analysis. Special architectures: Parallel architectures, microprogramming, RISC, and ASIC design overview.Prerequisites: ELEG 4303.
",,,,2019-2020,,,,['crop']
ELEG 6323,Electrical Engineering (ELEG), DSP Systems Design,"
Overview of Digital filter structures and digital filter design. Digital Processing Architectures: Microprocessors, Programmable arrays, ASICs; design considerations and algorithmic implementations. Interface considerations and interoperability issues for hardware system. Embedded systems designs for DSP applications. Design and implementation of DSP algorithms and Performance considerations.Prerequisites: ELEG 4053.
",,,,2019-2020,,,,['crop']
ELET 3003,Electrical Engineering Tech (ELET), Antennas and Transmission Systems,"
Topics that will be covered are VSWR, application of Smith charts, characteristic of antennas, characteristic of transmission lines, fiber optics used in data transmission, characteristic impedance of transmission lines, antenna gain calculations, antenna patterns, antenna grounding, microwave antenna considerations, and field strength measurement.Prerequisites: MATH 2024 and ELET 2221 and ELET 2223.
",,,,2019-2020,,,,[' fiber']
ELET 3603,Electrical Engineering Tech (ELET), Digital Integrated Circuits Devices and Applications,"
A treatise of LSI and VLSI devices to include memories, interfacing, data transfer, and arithmetic logic units. The application and programming of Motorola's 68000 and Intel's 80286 microprocessors will be covered.
",,,,2019-2020,,,,['crop']
ENTR 4043,Entrepreneurship (ENTR), New Venture Creation,"
This is a hands-on capstone course that focuses on new venture creation and requires a feasibility analysis of the new organization. Working in teams, students will learn to identify, conceptualize, plan, finance, launch, manage and harvest the rewards of building a new venture. Students will be required to actually do all the planning, create the appropriate documentation and present the complete business plan as though it were going to start in the immediate future.Prerequisites: MGMT 3333.
",,,,2019-2020,,,,['harvest']
FDSC 3583,Food Science (FDSC), Food Quality Assurance and Sanitation,"
Examination of the elements of a comprehensive quality assurance program. Areas of study include sanitation, pest control, waste disposal, food law regulations, sensory testing, panel selection and training, and experimental design and analysis of data.
",,,,2019-2020,,,,"['food', ' pest']"
FDSC 3593,Food Science (FDSC), Food Bacteriology,"
Microbiology of human foods and accessory substances. Raw and processed foods, physical, chemical and biological phases of spoilage. Standard industry techniques of inspection and control.
",,,,2019-2020,,,,"['food', ' spoil']"
FDSC 4573,Food Science (FDSC), Food Processing and Engineering,"
Study of the principles and practices of thermal processing, quick freezing, dehydration, fluid flows, heat transfer, pickling and juice manufacture.
",,,,2019-2020,,,,"['food', 'freez']"
GEOG 2523,Geography (GEOG), Urban Geography,"
Study of the form, function, classification, internal land use and structure, and intercity and city/hinterland relations of urban areas, with particular emphasis on United States.
",,,,2019-2020,,,,['land']
HLTH 1063,Health (HLTH), Environmental Health,"
Health aspects of environment, including health problems related to water, air, and noise pollution, pesticides, population, and radiation.
",,,,2019-2020,,,,[' pest']
HLTH 2003,Health (HLTH), Personal Health and Wellness,"
Study of the personal health concepts with emphasis on body systems, emotional health, drug use and abuse, disease, nutrition, and family and community health. Theory and practice in developing, implementing and evaluating philosophies of wellness programs.
",,,,2019-2020,,,,[' nutri']
HLTH 3013,Health (HLTH), Nutrition,"
Basic scientific information on nutrition and on its relationship to the biological needs of humans. An analysis and review of the selection and quality of nutrients essential to growth, development, and efficiency.
",,,,2019-2020,,,,[' nutri']
HLTH 4073,Health (HLTH), Community Health Planning and Assessment,"
Examines the relationship of community health planning and assessment to health education in both urban and rural communities. Emphasizes theory processes and methods applicable to the health care services delivery system.
",,,,2019-2020,,,,[' rural ']
HLTH 5043,Health (HLTH), Alcohol and Drugs,"
Development and evaluation of educational approaches for primary and secondary prevention of alcohol and other drug abuse and misuse within populations in elementary and secondary schools, businesses, health agencies, higher education and general communities.
",,,,2019-2020,,,,['alcohol']
HLTH 5173,Health (HLTH), Nutrition and the Environment,"
Understanding natural principles underlying health issues related to human ecology, nutrition, and non-infectious disease control and population problems.
",,,,2019-2020,,,,[' nutri']
HLTH 5183,Health (HLTH), Contemporary Health,"
Review of factors relating to selected high morbidity and mortality in urban and rural environments. Study of related psycho-social health problems faced by practicing health educators in a dynamic health care market involving school-based and community-based populations.
",,,,2019-2020,,,,[' rural ']
HIST 3503,History (HIST), American Chattel Slavery,"
This course examines the development of slavery in the making of American society, and particularly the American South, from the early colonial period through Reconstruction. Attention will be given to the following topics: the Atlantic origins of slavery; the emergence of colonial plantation societies; the development of a distinct slave society within the plantation; and the causes and consequences of secession (Civil War and Reconstruction).  Finally, we will consider Southern life in the aftermath of emancipation and the establishment of Jim Crow racial segregation in the revival of antebellum racial ideologies.
",,,,2019-2020,,,,[' slavery ']
HIST 3533,History (HIST), Civil Rights Movement,"
This course focuses on America's Second Reconstruction, The Civil Rights Movement that ran throughout the entirety of the twentieth century. Students will engage materials that highlight the impact that the Civil Rights Movement had on the citizenship status of African-Americans. Major historical events and individuals covered include, but are not limited to: The Great Migration, the founding of the NAACP, Charles Hamilton Houston, ASA Philip Randolph, the March on Washington Movement, the Civil Rights Movement, Charles Hamilton Houston, Thurgood Marshall, Bayard Rustin, Martin Luther King, Jr., Linda Brown, Malcolm X, the Murder of Emmett Louis Till, Jackie Robinson, The Black Panther Party for Self-Defense, The Rise of Black Power, Affirmative Action, the rise of the Prison Industrial Complex, and the election of Barack Hussein Obama.
",,,,2019-2020,,,,[' till']
HIST 4823,History (HIST), African-Amer Hist Since 1876,"
Intensive readings in a broad range of texts that form the foundation of the African-American historical experience during the modern period. Students will deal with readings covering a period that extends from the Nadir through contemporary America.This course will provide students an opportunity to read seminal texts by scholars who have written about the post-slavery African-American experience. Major issues and historical figures covered include, but are not limited to: the Nadir, Booker T. Washington, W.E.B. DuBois, The Great Migration, The Harlem Renaissance, the March on Washington Movement, the Civil Rights Movement,  the Murder of Emmett Louis Till, Malcolm X, the Rev. Dr. Martin Luther King, Jr., the Black Panther Party for Self-Defense, the decline of Urban America, the rise of the Prison Industrial Complex, and the election of Barack Hussein Obama.
",,,,2019-2020,,,,[' till']
HDFM 2513,Human Development & Family (HDFM), Childhood Disorders,"
This course is designed to introduce a general overview and treatment of major childhood disorders.  It examines the history of childhood psychopathology, theories of development, medical and biological factors, mental retardation, drug and alcohol use, social and environment factors that relate to childhood problems.
",,,,2019-2020,,,,['alcohol']
HDFM 2553,Human Development & Family (HDFM), Human Development,"
The dynamic processes of co-development of the individual from conception to senescence in physical, sensory, intellectual, emotional, and social development, Pattern of self-development with focus on the interaction between and among individuals.
",,,,2019-2020,,,,[' senescence ']
HDFM 4513,Human Development & Family (HDFM), The Family in Crisis,"
Theories and intervention strategies for helping families handle crises throughout the life cycle. Examination and analysis of exceptional children. Child, spousal, elder, and drug abuse. Unemployment and underemployment, sexual assaults, alcoholism, illness, death, deviant life-styles, and other crises.
",,,,2019-2020,,,,['alcohol']
HUNF 1301,Human Nutrition & Food (HUNF), Introduction to Dietetics,"
Students will be introduced to the profession of dietetics. The history of dietetics, career options, professional development (dietetics portfolio), the Academy code of ethics, standards of practice, the legislative process, and professional resources will be discussed.
",,,,2019-2020,,,,[' diet']
